creationDate,startDate,endDate,kcalBurned,milesCycled
2017-02-22 16:46:22 -0700,2017-02-16 16:20:18 -0700,2017-02-16 16:56:51 -0700,241.6,7.36114
2017-02-22 16:46:22 -0700,2017-02-07 16:33:31 -0700,2017-02-07 16:56:58 -0700,189,4.34276
2017-02-22 16:46:22 -0700,2017-02-14 16:45:31 -0700,2017-02-14 17:23:34 -0700,220.3,7.22866
2017-02-22 16:46:22 -0700,2017-02-04 13:58:05 -0700,2017-02-04 14:38:39 -0700,147.8,6.00263
2017-03-01 17:45:10 -0700,2017-02-23 17:20:15 -0700,2017-02-23 17:37:35 -0700,26.4,2.49978
2017-03-09 09:37:47 -0700,2017-03-09 08:34:57 -0700,2017-03-09 08:58:56 -0700,204.3,4.44231
2017-03-11 12:57:54 -0700,2017-03-11 07:58:21 -0700,2017-03-11 12:55:39 -0700,1544.8,48.7153
2017-03-12 15:23:21 -0700,2017-03-12 13:19:22 -0700,2017-03-12 15:04:05 -0700,587.9,20.6527
2017-03-16 08:01:55 -0700,2017-03-14 15:53:25 -0700,2017-03-14 16:19:52 -0700,188.6,4.49661
2017-03-16 08:01:55 -0700,2017-03-09 16:47:16 -0700,2017-03-09 17:16:45 -0700,124.9,4.44287
2017-03-22 07:00:59 -0700,2017-03-16 16:22:59 -0700,2017-03-16 16:44:42 -0700,192.2,4.38359
2017-03-22 08:08:03 -0700,2017-03-21 16:02:28 -0700,2017-03-21 16:26:41 -0700,183.5,4.36992
2017-03-25 15:39:30 -0700,2017-03-25 07:10:38 -0700,2017-03-25 15:33:53 -0700,2424.5,81.3586
2017-03-28 19:32:50 -0700,2017-03-28 15:45:47 -0700,2017-03-28 16:24:30 -0700,351.5,7.45297
2017-03-30 22:09:29 -0700,2017-02-02 16:36:36 -0700,2017-02-02 17:15:16 -0700,227.7,7.23189
2017-04-01 13:13:03 -0700,2017-04-01 07:19:06 -0700,2017-04-01 13:04:45 -0700,2344.2,73.0148
2017-04-07 08:17:35 -0700,2017-04-07 07:33:47 -0700,2017-04-07 07:56:57 -0700,201.9,4.42186
2017-04-07 13:29:00 -0700,2017-03-30 15:54:37 -0700,2017-03-30 16:32:57 -0700,234,7.25209
2017-04-08 06:30:54 -0700,2017-04-07 13:30:23 -0700,2017-04-07 13:52:27 -0700,132.8,4.35233
2017-04-08 11:57:45 -0700,2017-04-08 07:18:00 -0700,2017-04-08 11:46:13 -0700,1795.7,55.0447
2017-04-09 21:17:20 -0700,2017-04-09 16:20:22 -0700,2017-04-09 16:45:04 -0700,97.4,3.09667
2017-04-11 09:07:56 -0700,2017-04-11 07:27:53 -0700,2017-04-11 07:51:32 -0700,137,4.44697
2017-04-13 22:25:47 -0700,2017-04-13 16:40:38 -0700,2017-04-13 17:02:03 -0700,202.4,4.35979
2017-04-29 18:26:22 -0700,2017-04-29 12:45:13 -0700,2017-04-29 14:05:02 -0700,428.7,14.6186
2017-05-02 08:31:15 -0700,2017-05-02 07:42:26 -0700,2017-05-02 08:05:53 -0700,206,4.43212
2017-05-02 15:15:28 -0700,2017-05-02 14:34:45 -0700,2017-05-02 15:13:43 -0700,234.1,7.24836
2017-05-04 08:25:03 -0700,2017-05-04 07:46:53 -0700,2017-05-04 08:09:31 -0700,196.9,4.43
2017-05-06 22:04:23 -0700,2017-05-06 13:00:30 -0700,2017-05-06 14:04:46 -0700,350,11.3641
2017-05-09 18:52:48 -0700,2017-05-09 15:40:30 -0700,2017-05-09 16:22:18 -0700,308.8,7.23779
2017-05-11 08:03:53 -0700,2017-05-11 07:21:48 -0700,2017-05-11 07:48:45 -0700,188.8,4.48673
2017-05-13 14:18:24 -0700,2017-05-13 08:50:45 -0700,2017-05-13 14:14:36 -0700,2105,65.3987
2017-05-16 07:25:15 -0700,2017-05-11 15:40:34 -0700,2017-05-11 16:22:20 -0700,320.6,7.21393
2017-05-19 09:56:08 -0700,2017-05-19 07:37:14 -0700,2017-05-19 08:05:58 -0700,190.9,4.49991
2017-05-20 13:38:27 -0700,2017-05-20 06:54:04 -0700,2017-05-20 13:19:41 -0700,2027,64.9942
2017-05-25 07:29:06 -0700,2017-05-23 15:47:50 -0700,2017-05-23 16:15:03 -0700,172.7,4.39645
2017-05-25 07:58:03 -0700,2017-05-25 07:29:04 -0700,2017-05-25 07:54:34 -0700,183.9,4.51115
2017-05-28 11:01:13 -0700,2017-05-28 10:15:25 -0700,2017-05-28 11:00:12 -0700,178.6,7.0658
2017-05-29 13:40:18 -0700,2017-05-29 06:58:07 -0700,2017-05-29 13:37:40 -0700,2300.8,70.9904
2017-06-06 10:42:45 -0700,2017-06-06 07:50:58 -0700,2017-06-06 08:18:26 -0700,202.2,4.74119
2017-06-06 16:32:02 -0700,2017-06-06 15:43:10 -0700,2017-06-06 16:25:53 -0700,295.7,7.18908
2017-06-15 18:58:23 -0700,2017-06-15 15:26:46 -0700,2017-06-15 16:36:08 -0700,405.6,8.59512
2017-07-16 13:01:32 -0700,2017-06-27 16:25:12 -0700,2017-06-27 16:59:06 -0700,183.1,4.54713
2017-07-16 13:01:32 -0700,2017-06-29 15:46:39 -0700,2017-06-29 16:12:12 -0700,106.7,4.31561
2017-10-29 07:01:32 -0700,2017-08-12 05:34:31 -0700,2017-08-12 05:34:31 -0700,243.895,8.62948
2017-10-29 07:01:32 -0700,2017-08-22 07:41:14 -0700,2017-08-22 07:41:14 -0700,195.913,4.52271
2017-10-29 07:01:32 -0700,2017-08-24 12:55:42 -0700,2017-08-24 12:55:42 -0700,220.353,9.76796
2017-10-29 07:01:32 -0700,2017-08-12 08:31:41 -0700,2017-08-12 08:31:41 -0700,3130.6,91.6703
2017-10-29 07:01:32 -0700,2017-09-03 07:05:13 -0700,2017-09-03 07:05:13 -0700,1704.72,58.6708
2017-10-29 07:01:32 -0700,2017-08-22 16:28:33 -0700,2017-08-22 16:28:33 -0700,194.551,4.29591
2017-10-29 07:01:32 -0700,2017-08-20 06:55:18 -0700,2017-08-20 06:55:18 -0700,1703.71,58.1946
2017-10-29 07:01:32 -0700,2017-08-05 07:59:02 -0700,2017-08-05 07:59:02 -0700,1691.05,56.1921
2017-10-29 07:01:32 -0700,2017-07-30 06:45:12 -0700,2017-07-30 06:45:12 -0700,163.198,6.1051
2017-10-29 07:01:32 -0700,2017-08-13 07:11:41 -0700,2017-08-13 07:11:41 -0700,2055.81,59.5559
2017-10-29 07:01:32 -0700,2017-07-30 14:46:15 -0700,2017-07-30 14:46:15 -0700,158.918,6.30586
2017-10-29 07:01:32 -0700,2017-08-01 17:41:26 -0700,2017-08-01 17:41:26 -0700,125.636,4.33649
